op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
MEAN,780,480.0,0.05382928,-7.9071346e-05,1.0496073,0.005047244,0.018511683,-113,model/tf.math.reduce_mean_7/Mean,3.8377903415405688
CONV_2D,428,4.0,0.048301496,-0.0033119963,0.07167766,0.011173173,0.044667687,26,model/tf.math.add_7/Add;model/tf.nn.convolution_5/convolution;Const_1521,2.366436184453204
CONV_2D,368,8.0,0.04081525,0.0105812,0.107874624,0.004518756,0.036141895,127,model/tf.math.add_2/Add;model/tf.nn.convolution_1/convolution;Const_1631,1.8599382497018804
CONV_2D,668,10.0,0.032427594,0.0053722598,0.077878445,0.0010929597,0.023912242,127,model/tf.math.add_31/Add;model/tf.nn.convolution_21/convolution;Const_1101,1.3825529624650552
MEAN,664,240.0,0.016258134,-0.0006332765,0.16911732,0.00085955433,0.025523985,-119,model/tf.math.reduce_mean_5/Mean,1.1486512392991792
CONV_2D,548,6.0,0.03529471,-0.017946927,0.077266924,0.0052875755,0.08928388,57,model/tf.math.add_19/Add;model/tf.nn.convolution_13/convolution;Const_1311,0.8144327621972262
CONV_2D,484,6.0,0.025749788,0.0076535414,0.055846967,0.00110154,0.041686486,-19,model/tf.math.add_12/Add;model/tf.nn.convolution_9/convolution;Const_1421,0.7961682391996003
MEAN,720,480.0,0.011956487,0.0020155467,0.0866171,0.00014908433,0.02095367,-115,model/tf.math.reduce_mean_6/Mean,0.582714599328222
CONV_2D,1024,28.0,0.03413713,0.010016656,0.08286671,0.0012923521,0.06848959,127,model/tf.math.add_69/Add;model/tf.nn.convolution_45/convolution;Const_491,0.5248870524643447
LOGISTIC,416,301056.0,0.0016473408,-0.00086320116,0.00390625,3.466296e-06,0.00390625,-128,model/tf.math.sigmoid_5/Sigmoid,0.4766205772477726
LOGISTIC,344,401408.0,0.0018013918,-0.0003765183,0.00390625,3.3953809e-06,0.00390625,-128,model/tf.math.sigmoid/Sigmoid,0.47171991972186206
LOGISTIC,356,401408.0,0.0017063561,-0.00046273187,0.00390625,3.1278446e-06,0.00390625,-128,model/tf.math.sigmoid_1/Sigmoid,0.45275426414954945
CONV_2D,1260,48.0,0.028386693,-0.004607959,0.075053595,0.0008424211,0.065833114,11,model/tf.math.add_95/Add;model/tf.nn.convolution_61/convolution;Const_91,0.44087981896586587
CONV_2D,844,20.0,0.028507,-0.0021483072,0.061370783,0.00085797074,0.068882756,-16,model/tf.math.add_50/Add;model/tf.nn.convolution_33/convolution;Const_801,0.4252317890348429
CONV_2D,692,15680.0,0.16915451,0.004226912,0.78791356,0.028650412,0.4221093,7,model/tf.math.add_33/Add;model/tf.nn.convolution_23/convolution;Const_1061,0.4009964382066119
CONV_2D,784,20.0,0.026583448,-0.0031388085,0.06415119,0.00075020985,0.068432435,23,model/tf.math.add_43/Add;model/tf.nn.convolution_29/convolution;Const_901,0.40024819994473027
CONV_2D,1048,9408.0,0.12092247,0.006862068,0.42649817,0.014671044,0.303648,3,model/tf.math.add_71/Add;model/tf.nn.convolution_47/convolution;Const_451,0.3988963705865472
CONV_2D,604,10.0,0.013549123,-0.0016900477,0.02605246,0.00020573639,0.03696959,-51,model/tf.math.add_24/Add;model/tf.nn.convolution_17/convolution;Const_1211,0.38798141567593003
CONV_2D,900,28.0,0.016430395,-0.0013701398,0.038944885,0.00029799313,0.04540468,1,model/tf.math.add_55/Add;model/tf.nn.convolution_37/convolution;Const_701,0.3801915907408201
CONV_2D,796,480.0,0.013618428,0.00026312127,0.054911576,0.0001886327,0.038921867,23,model/tf.math.add_44/Add;model/tf.nn.convolution_30/convolution;Const_881,0.35287007214967053
CONV_2D,724,20.0,0.0191246,-9.802861e-05,0.03881253,0.00038828302,0.0559652,13,model/tf.math.add_36/Add;model/tf.nn.convolution_25/convolution;Const_1001,0.3520919853013057
CONV_2D,960,28.0,0.015878374,-0.0003756257,0.03459573,0.00026213902,0.04657784,-33,model/tf.math.add_62/Add;model/tf.nn.convolution_41/convolution;Const_601,0.3476053812043491
CONV_2D,1200,48.0,0.019290553,0.0020448104,0.04323885,0.00038674788,0.057594433,-22,model/tf.math.add_88/Add;model/tf.nn.convolution_57/convolution;Const_191,0.34145498991165757
CONV_2D,736,480.0,0.01514961,0.0001337379,0.055268902,0.0002429533,0.046320282,49,model/tf.math.add_37/Add;model/tf.nn.convolution_26/convolution;Const_981,0.33650398097635553
LOGISTIC,936,131712.0,0.0013141246,-2.08052e-05,0.003671962,1.7273795e-06,0.00390625,-128,model/tf.math.sigmoid_40/Sigmoid,0.3364603140223227
CONV_2D,1140,48.0,0.022436302,0.001268588,0.05026929,0.0005172307,0.06791531,-5,model/tf.math.add_81/Add;model/tf.nn.convolution_53/convolution;Const_291,0.3348686256926622
CONV_2D,1080,48.0,0.027064556,-9.240504e-05,0.061632928,0.0007504284,0.0820378,-8,model/tf.math.add_74/Add;model/tf.nn.convolution_49/convolution;Const_391,0.3339186111376863
