op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name,rmse_per_scale
FULLY_CONNECTED,112,128.0,0.0016484839,-0.00016603385,0.0054094587,7.0749193e-06,0.0057328437,-128,sequential_1/dense_1/MatMul;sequential_1/dense_1/Relu;sequential_1/dense_1/BiasAdd,0.4639707944234873
FULLY_CONNECTED,116,8.0,0.023145061,-1.3352111e-05,0.041570168,0.0010248919,0.080684684,-5,sequential_1/dense_1_2/MatMul;sequential_1/dense_1_2/BiasAdd,0.3967783142620232
MEAN,108,256.0,0.0053306534,-2.508639e-05,0.017082144,3.8564634e-05,0.01734955,-95,sequential_1/global_average_pooling2d_1/Mean,0.35793683380953656
ADD,100,147456.0,0.14888796,0.03464468,0.22760487,0.0233679,0.45147464,-125,sequential_1/batch_normalization_3_1/batchnorm/add_1,0.3385918360062751
ADD,68,760384.0,0.041185237,0.0021336968,0.0681963,0.0017007957,0.13268352,-118,sequential_1/batch_normalization_1_2/batchnorm/add_1,0.3108200958730609
ADD,84,346112.0,0.06848837,-0.0004412869,0.11978874,0.004690852,0.23750019,-125,sequential_1/batch_normalization_2_1/batchnorm/add_1,0.28837785291984974
SOFTMAX,120,8.0,0.00080438243,-0.00024658174,0.0017923802,8.4796227e-07,0.00390625,-128,StatefulPartitionedCall_1:0,0.2357372590973264
ADD,52,1577088.0,0.010309377,0.0009819556,0.025902482,0.000107284846,0.04780744,-82,sequential_1/batch_normalization_1/batchnorm/add_1,0.21665748746861224
CONV_2D,60,760384.0,0.021210907,-0.00024283622,0.08522454,0.00045032747,0.1275273,-128,sequential_1/conv2d_1_2/Relu;sequential_1/conv2d_1_2/BiasAdd;sequential_1/conv2d_1_2/convolution;sequential_1/conv2d_1_2/Squeeze1,0.16640296292488838
MUL,64,760384.0,0.020863479,0.00019421859,0.12675355,0.00043638304,0.13289069,-118,sequential_1/batch_normalization_1_2/batchnorm/mul_1,0.1571952342839587
CONV_2D,44,1577088.0,0.0064874487,-9.731052e-07,0.02454952,4.2135733e-05,0.042675525,-128,sequential_1/conv2d_1/Relu;sequential_1/conv2d_1/BiasAdd;sequential_1/conv2d_1/convolution;sequential_1/conv2d_1/Squeeze1,0.15210602047985858
MUL,48,1577088.0,0.007562747,-0.0014857284,0.03848492,5.961422e-05,0.051377308,-85,sequential_1/batch_normalization_1/batchnorm/mul_1,0.15028083105120868
CONV_2D,76,346112.0,0.028687678,-0.00028595942,0.19864292,0.0008255079,0.23489046,-128,sequential_1/conv2d_2_1/Relu;sequential_1/conv2d_2_1/BiasAdd;sequential_1/conv2d_2_1/convolution;sequential_1/conv2d_2_1/Squeeze1,0.12231937081004639
CONV_2D,92,147456.0,0.054277018,-0.00048078314,0.29553154,0.0029613571,0.44704732,-128,sequential_1/conv2d_3_1/Relu;sequential_1/conv2d_3_1/BiasAdd;sequential_1/conv2d_3_1/convolution;sequential_1/conv2d_3_1/Squeeze1,0.12172839466474258
MUL,80,346112.0,0.028094111,0.00015956312,0.23961164,0.0007901685,0.23780152,-125,sequential_1/batch_normalization_2_1/batchnorm/mul_1,0.11820755378592836
MUL,96,147456.0,0.052608985,0.0002829988,0.33919257,0.0027833546,0.45198205,-125,sequential_1/batch_normalization_3_1/batchnorm/mul_1,0.11672478480644657
MAX_POOL_2D,56,394272.0,0.0,0.0,0.0,0.0,0.04780744,-82,sequential_1/max_pooling2d_1/MaxPool2d,0.0
MAX_POOL_2D,72,186624.0,0.0,0.0,0.0,0.0,0.13268352,-118,sequential_1/max_pooling2d_1_2/MaxPool2d,0.0
MAX_POOL_2D,88,86528.0,0.0,0.0,0.0,0.0,0.23750019,-125,sequential_1/max_pooling2d_2_1/MaxPool2d,0.0
MAX_POOL_2D,104,36864.0,0.0,0.0,0.0,0.0,0.45147464,-125,sequential_1/max_pooling2d_3_1/MaxPool2d,0.0
